question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,r1,r2,s,ground_truth
479c233f-bfe4-4ad2-ad30-a54826fab148,0.0,0.0,0.0,0.0,1.3071758,0.65741783,0.1999471,0.65741783,0.5,0,0.6931471805599453,1.3071758,4
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.14901651,0.074679755,0.0,0.074679755,1.0,0,0.6931471805599453,0.14901651,4
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.14279857,0.068461806,0.0,0.068461806,1.0,1,0.4054651081081644,0.14279857,0
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.12710275,0.0,0.0,0.0,0.5,2,0.2876820724517809,0.12710275,0
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.12710275,0.0,0.0,0.0,0.5,3,0.22314355131420976,0.12710275,0
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.12616234,0.0,0.0,0.0,0.5,4,0.18232155679395462,0.12616234,0
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.124604635,0.0,0.0,0.0,0.5,5,0.1541506798272583,0.124604635,0
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.124604635,0.0,0.0,0.0,0.5,6,0.13353139262452263,0.124604635,0
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.042521928,0.0,0.0,0.0,0.5,7,0.11778303565638346,0.042521928,0
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.042521928,0.0,0.0,0.0,0.5,8,0.1053605156578263,0.042521928,0
51b104dc-1576-4f2e-8b07-24df2e8b8bd9,0.0,0.0,0.0,0.0,0.040964227,0.0,0.0,0.0,0.5,9,0.09531017980432487,0.040964227,0
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.36918956,0.13012342,0.0,0.13012342,0.42857146,0,0.6931471805599453,0.36918956,4
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.32329172,0.09403256,0.0,0.09403256,0.2857143,1,0.4054651081081644,0.32329172,0
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.2409643,0.0,0.0,0.0,0.14285715,2,0.2876820724517809,0.2409643,0
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.2409643,0.0,0.0,0.0,0.14285715,3,0.22314355131420976,0.2409643,0
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.239914,0.0,0.07336593,0.0,0.2857143,4,0.18232155679395462,0.239914,0
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.19661218,0.0,0.0,0.0,0.14285715,5,0.1541506798272583,0.19661218,0
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.19505447,0.0,0.0,0.0,0.14285715,6,0.13353139262452263,0.19505447,0
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.19505447,0.0,0.0,0.0,0.14285715,7,0.11778303565638346,0.19505447,0
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.1860394,0.0,0.0,0.0,0.14285715,8,0.1053605156578263,0.1860394,0
3046ded9-e289-4d06-9b68-370b2537daad,0.0,0.0,0.0,0.0,0.16803257,0.0,0.0,0.0,0.14285715,9,0.09531017980432487,0.16803257,0
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.20424283,0.06390452,0.06390452,0.06390452,0.75,0,0.6931471805599453,0.20424283,4
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.19957788,0.09569646,0.0,0.09569646,0.5,1,0.4054651081081644,0.19957788,0
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.13068464,0.0,0.06390452,0.0,0.5,2,0.2876820724517809,0.13068464,0
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.13068464,0.06390452,0.0,0.06390452,0.5,3,0.22314355131420976,0.13068464,0
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.12568842,0.05890829,0.0,0.05890829,0.5,4,0.18232155679395462,0.12568842,0
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.12568842,0.05890829,0.0,0.05890829,0.5,5,0.1541506798272583,0.12568842,0
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.12568842,0.05890829,0.0,0.05890829,0.5,6,0.13353139262452263,0.12568842,0
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.074169055,0.0,0.0,0.0,0.25,7,0.11778303565638346,0.074169055,0
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.074169055,0.0,0.0,0.0,0.25,8,0.1053605156578263,0.074169055,0
73b268e9-6d51-4951-b518-8e4f5d386be3,0.0,0.0,0.0,0.0,0.07355819,0.0,0.0,0.0,0.25,9,0.09531017980432487,0.07355819,0
